source,title,url,published_at,content_snippet,sentiment_compound
The Verge,Meta’s AI copyright win comes with a warning about fair use,https://www.theverge.com/news/693437/meta-ai-copyright-win-fair-use-warning,2025-06-26 00:13:44+00:00,"Meta won a major legal ruling in an AI copyright lawsuit brought by 13 authors alleging that the company illegally trained its AI systems on their work without permission. On Wednesday, Judge Vince Chhabria ruled in Meta’s favor, saying it is “entitled to sum…",0.8658
The Verge,AI is ruining houseplant communities online,https://www.theverge.com/ai-artificial-intelligence/691355/ai-is-ruining-houseplant-communities-online,2025-06-25 20:59:46+00:00,"""Maybe you could organize your plants like this,"" my friend's text message said, with an attached photo of white pots of plants floating midair in front of a huge, sunny window. As a newbie plant collector, I do need to organize my growing collection of flora…",0.743
Slashdot.org,Meta Beats Copyright Suit From Authors Over AI Training on Books,https://tech.slashdot.org/story/25/06/25/2127222/meta-beats-copyright-suit-from-authors-over-ai-training-on-books,2025-06-26 01:30:00+00:00,"An anonymous reader shares a report: Meta escaped a first-of-its-kind copyright lawsuit from a group of authors who alleged the tech giant hoovered up millions of copyrighted books without permission to train its generative AI model called Llama. 

San Franci…",0.0772
Forbes,How Leaders Can Choose The Right AI Auditing Services,https://www.forbes.com/sites/anjanasusarla/2025/06/24/how-leaders-can-choose-the-right-ai-auditing-services/,2025-06-25 01:17:27+00:00,"How to understand AI audit. Leaders need to understand AI risks, establish AI governance, build cross-functional teams and specify clear goals from AI audits.",0.128
Slashdot.org,Microsoft Sued By Authors Over Use of Books in AI Training,https://news.slashdot.org/story/25/06/25/2137220/microsoft-sued-by-authors-over-use-of-books-in-ai-training,2025-06-26 00:50:00+00:00,"Microsoft has been hit with a lawsuit by a group of authors who claim the company used their books without permission to train its Megatron artificial intelligence model. From a report: Kai Bird, Jia Tolentino, Daniel Okrent and several others alleged that Mi…",0.296
Forbes,The Prompt: A Copyright Win For Anthropic,https://www.forbes.com/sites/rashishrivastava/2025/06/25/the-prompt-a-copyright-win-for-anthropic/,2025-06-25 15:10:08+00:00,Plus: MIT student restores old paintings with AI.,0.7184
Fox News,AI-powered self-driving software is disrupting the trucking industry,https://www.foxnews.com/tech/ai-powered-self-driving-software-disrupting-trucking-industry,2025-06-25 10:00:20+00:00,"AI-powered autonomous trucks from Plus Automation are being tested across the U.S., Europe and Asia to solve logistics challenges while facing regulatory hurdles and labor concerns.",0.2732
The Verge,Did AI companies win a fight with authors? Technically,https://www.theverge.com/analysis/694657/ai-copyright-rulings-anthropic-meta,2025-06-27 23:12:24+00:00,"In the past week, big AI companies have - in theory - chalked up two big legal wins. But things are not quite as straightforward as they may seem, and copyright law hasn't been this exciting since last month's showdown at the Library of Congress. First, Judge…",0.8528
The Verge,What Meta and Anthropic really won in court,https://www.theverge.com/the-vergecast/694075/ai-lawsuits-meta-anthropic-tesla-trump-vergecast,2025-06-27 12:53:07+00:00,"A lot of the future of AI will be settled in court. From publishers to authors to artists to Hollywood conglomerates, the creative industry is picking a big copyright fight over the vast quantities of data used to train AI models - and the ultimate output of …",0.6478
Wired,OpenAI’s Unreleased AGI Paper Could Complicate Microsoft Negotiations,https://www.wired.com/story/openai-five-levels-agi-paper-microsoft-negotiations/,2025-06-27 19:35:29+00:00,"The partnership between OpenAI and Microsoft in many ways hinges on the definition of artificial general intelligence, creating a tension that has spilled over into OpenAI research that has not been made public.",0.4588
CNET,"Meta Scores AI Fair Use Court Victory, but Judge Warns Such Wins Won't Always Be the Case",https://www.cnet.com/tech/services-and-software/meta-scores-ai-fair-use-court-victory-but-judge-warns-such-wins-wont-always-be-the-case/,2025-06-26 17:32:36+00:00,"Judge Vince Chhabria ruled that authors failed to make a key argument, but also said ""it seems like plaintiffs will often win"" in future copyright cases like the one against Meta.",0.8779
Business Insider,A judge just handed Meta a big AI copyright victory. He said lawyers for the other side fumbled the case.,https://www.businessinsider.com/meta-wins-ai-copyright-lawsuit-lawyers-fumbled-boies-schiller-flexner-2025-6,2025-06-26 07:15:43+00:00,"The judge said that one ""potentially winning argument"" — that AI tools could harm the market for human-created content — was barely mentioned.",-0.3818
Slashdot.org,Denmark To Tackle Deepfakes By Giving People Copyright To Their Own Features,https://tech.slashdot.org/story/25/06/27/2050240/denmark-to-tackle-deepfakes-by-giving-people-copyright-to-their-own-features,2025-06-28 03:30:00+00:00,"An anonymous reader quotes a report from The Guardian: The Danish government is to clamp down on the creation and dissemination of AI-generated deepfakes by changing copyright law to ensure that everybody has the right to their own body, facial features and v…",0.7269
Patatas.ca,AI Is Dehumanization Technology,https://thedabbler.patatas.ca/pages/ai-is-dehumanization-technology.html,2025-06-26 19:41:35+00:00,A call to reject the deployment and use of AI systems in Canada's public sector.,-0.4019
CNET,"What Are AI Video Generators? What to Know About Google's Veo 3, Sora and More",https://www.cnet.com/tech/services-and-software/what-are-ai-video-generators-what-to-know-about-googles-veo-3-sora-and-more/,2025-06-27 13:00:04+00:00,"Big tech is jumping head-first into new generative AI video programs. Here's what you need to know, including what programs you can use right now.",0.0
VentureBeat,What enterprise leaders can learn from LinkedIn’s success with AI agents,https://venturebeat.com/ai/what-enterprise-leaders-can-learn-from-linkedins-success-with-ai-agents/,2025-06-26 20:15:00+00:00,"LinkedIn scientists share how they have found success with their LinkedIn hiring assistant, an AI agent that sources and recruits workers.",0.8625
Byu.edu,BYU study: Why some people choose not to use artificial intelligence,https://news.byu.edu/intellect/byu-study-finds-the-real-reasons-why-some-people-choose-not-to-use-artificial-intelligence,2025-06-28 17:59:11+00:00,"Concerns about safety, ethics and unreliability top the list",0.7717
Gizmodo.com,Denmark’s Plan to Fight Deepfakes: Give Citizens Copyright to Their Own Likeness,https://gizmodo.com/denmarks-plan-to-fight-deepfakes-give-citizens-copyright-to-their-own-likeness-2000621785,2025-06-28 16:56:55+00:00,"'Face/Off' would definitely be illegal under this, right?",-0.5423
ABC News,Some people who will feel the effects of Trump's megabill,https://abcnews.go.com/Politics/meet-people-feel-effects-trumps-big-beautiful-bill/story?id=123343460,2025-06-30 22:01:17+00:00,"As Republicans sprint to pass Trump’s megabill, we talked to Americans poring over the bill’s hundreds of pages and trying to determine how it might change their lives.",0.0
Gizmodo.com,Crypto Bros Are Winning Big in Trump’s America,https://gizmodo.com/crypto-bros-are-winning-big-in-trumps-america-2000621885,2025-06-29 13:21:42+00:00,"The industry that brought you Bitcoin casinos and NFT grifts is now riding high on regulation, respectability, and record profits thanks to the White House.",0.9118
Business Insider,OpenAI and Microsoft are dueling over AGI. These real-world tests will prove when AI is really better than humans.,https://www.businessinsider.com/openai-microsoft-duel-agi-real-world-tests-ai-better-humans-2025-6,2025-06-29 09:00:01+00:00,The most important AI partnership in the world partly revolves around whether OpenAI achieves AGI. I propose several practical tests.,0.647
The Verge,Can the music industry make AI the next Napster?,https://www.theverge.com/ai-artificial-intelligence/695290/suno-udio-ai-music-legal-copyright-riaa,2025-06-30 19:06:06+00:00,"Sure, everyone hates record labels - but the AI industry has figured out how to make them look like heroes. So that's at least one very impressive accomplishment for AI. AI is cutting a swath across a number of creative industries - with AI-generated book cov…",0.9504
Gizmodo.com,OpenAI Reportedly Shuts Down for a Week as Zuck Poaches Its Top Talent,https://gizmodo.com/openai-reportedly-shuts-down-for-a-week-as-zuck-poaches-its-top-talent-2000622145,2025-06-30 18:28:26+00:00,An employee's public lament over poached colleagues and a company-wide shutdown reveal a difficult truth: the human cost of building AI is reaching a breaking point.,0.296
Business Insider,GOP senators water down controversial AI provision in Trump's 'Big Beautiful Bill',https://www.businessinsider.com/ai-moratorium-changes-trump-big-beautiful-bill-2025-6,2025-06-30 16:27:26+00:00,The provision discouraging states from regulating AI would now last only five years and includes some carveouts.,0.0516
Business Insider,AI giants win big in the copyright fight. Here's what happens now.,https://www.businessinsider.com/ai-giants-win-copyright-fight-what-happens-now-2025-6,2025-07-01 10:00:01+00:00,Big tech companies recently secured legal victories allowing free use of copyrighted content. This will reshape the internet in profound ways.,0.8271
CNET,Congress Dropped a Plan to Block State AI Rules. Why That Matters for Consumers,https://www.cnet.com/tech/services-and-software/congress-dropped-a-plan-to-block-state-ai-rules-why-that-matters-for-consumers/,2025-07-01 16:13:02+00:00,A proposed 10-year moratorium on states enforcing rules around artificial intelligence was pulled from the federal budget bill in the Senate.,0.0772
